127.0.0.1 - - [11/Nov/2022:08:52:12 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:52:13 +0530] "GET /project_3/ HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:17 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3885
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:24 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:42 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:42 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9963
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:54 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17239
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:57:55 +0530] "GET /project_3/img/ml.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:08:59:54 +0530] "POST /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 13786
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:46 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 15596
0:0:0:0:0:0:0:1 - - [11/Nov/2022:09:01:46 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:16:04 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:16:05 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 7522
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:16:15 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:16:23 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 1935
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:05 +0530] "GET /project_3/ctl/MarksheetListCtl HTTP/1.1" 200 17239
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:08 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18257
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:16 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13514
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:23 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 10726
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:25 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:26 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18257
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:29 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18257
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:35 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 17555
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:41 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 15067
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:50 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13528
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:18:57 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 13529
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:19:03 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 200 10726
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:19:04 +0530] "POST /project_3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2022:13:19:04 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18257
